group,field,available_count,sample_count,missing_rate,status
universe,ticker,22,22,0.0,strong
universe,company_name,22,22,0.0,strong
universe,sector,22,22,0.0,strong
universe,industry,22,22,0.0,strong
universe,cik,22,22,0.0,strong
market,price,22,22,0.0,strong
market,return_1m,22,22,0.0,strong
market,return_3m,22,22,0.0,strong
market,return_6m,22,22,0.0,strong
market,volatility_20d,22,22,0.0,strong
market,volatility_60d,22,22,0.0,strong
market,max_drawdown_1y,22,22,0.0,strong
market,ma20_gap,22,22,0.0,strong
market,volume_trend,22,22,0.0,strong
market,relative_strength_3m,22,22,0.0,strong
market,beta_1y,22,22,0.0,strong
market,market_cap,22,22,0.0,strong
fundamental,annual_revenue,22,22,0.0,strong
fundamental,annual_net_income,22,22,0.0,strong
fundamental,annual_free_cash_flow,19,22,0.13636363636363635,usable
fundamental,revenue_growth,22,22,0.0,strong
fundamental,profit_margin,22,22,0.0,strong
fundamental,roe,22,22,0.0,strong
fundamental,liabilities_to_equity,22,22,0.0,strong
fundamental,annual_pe_proxy,22,22,0.0,strong
